embassy,embassyLabel,hostCountry,hostCountryLabel,operatorCountry,operatorCountryLabel,ambassador,ambassadorLabel
http://www.wikidata.org/entity/Q58491509,"Embassy of Germany, Sofia",http://www.wikidata.org/entity/Q219,Bulgaria,http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q117824590,Irene Maria Plank
http://www.wikidata.org/entity/Q31194238,"Embassy of Armenia, Sofia",http://www.wikidata.org/entity/Q219,Bulgaria,http://www.wikidata.org/entity/Q399,Armenia,http://www.wikidata.org/entity/Q21212735,Armen Sargsyan
http://www.wikidata.org/entity/Q58492031,"Embassy of Germany, Ouagadougou",http://www.wikidata.org/entity/Q965,Burkina Faso,http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q13422632,Dietrich Becker
http://www.wikidata.org/entity/Q58492167,"Embassy of Germany, Bujumbura",http://www.wikidata.org/entity/Q967,Burundi,http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q123181170,Carsten Hölscher
http://www.wikidata.org/entity/Q58731951,"Embassy of Germany, Phnom Penh",http://www.wikidata.org/entity/Q424,Cambodia,http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q115380170,Stefan Messerer
http://www.wikidata.org/entity/Q28666956,"Embassy of Russia, Phnom Penh",http://www.wikidata.org/entity/Q424,Cambodia,http://www.wikidata.org/entity/Q159,Russia,http://www.wikidata.org/entity/Q18279717,Q18279717
http://www.wikidata.org/entity/Q58737314,"Embassy of Germany, Yaounde",http://www.wikidata.org/entity/Q1009,Cameroon,http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q98893428,Corinna Fricke
http://www.wikidata.org/entity/Q5369719,"Embassy of Hungary, Ottawa",http://www.wikidata.org/entity/Q16,Canada,http://www.wikidata.org/entity/Q28,Hungary,http://www.wikidata.org/entity/Q99220043,Mária Vass-Salazar
http://www.wikidata.org/entity/Q653784,"Embassy of France, Ottawa",http://www.wikidata.org/entity/Q16,Canada,http://www.wikidata.org/entity/Q142,France,http://www.wikidata.org/entity/Q33259813,Kareen Rispal
http://www.wikidata.org/entity/Q937730,"Embassy of Mexico, Ottawa",http://www.wikidata.org/entity/Q16,Canada,http://www.wikidata.org/entity/Q96,Mexico,http://www.wikidata.org/entity/Q18218053,Francisco Suárez Dávila
http://www.wikidata.org/entity/Q59273683,"Embassy of Germany, N'Djamena",http://www.wikidata.org/entity/Q657,Chad,http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q130719803,Gregor Schotten
http://www.wikidata.org/entity/Q58492288,"Embassy of Germany, Santiago",http://www.wikidata.org/entity/Q298,Chile,http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q126271477,Susanne Fries-Gaier
http://www.wikidata.org/entity/Q63616745,"Embassy of Hungary, Santiago de Chile",http://www.wikidata.org/entity/Q298,Chile,http://www.wikidata.org/entity/Q28,Hungary,http://www.wikidata.org/entity/Q117262362,Edit Bucsi-Szabó
http://www.wikidata.org/entity/Q58869927,"Embassy of Germany, Bogotá",http://www.wikidata.org/entity/Q739,Colombia,http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q104886759,Martina Klumpp
http://www.wikidata.org/entity/Q58492492,"Embassy of Germany, San José",http://www.wikidata.org/entity/Q800,Costa Rica,http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q58895965,Daniel Kriener
http://www.wikidata.org/entity/Q58876415,"Embassy of Germany, Zagreb",http://www.wikidata.org/entity/Q224,Croatia,http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q19277346,Christian Hellbach
http://www.wikidata.org/entity/Q58888269,"Embassy of Germany, Havana",http://www.wikidata.org/entity/Q241,Cuba,http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q125523972,Frank Rückert
http://www.wikidata.org/entity/Q109178411,embassy of Guinea in Cuba,http://www.wikidata.org/entity/Q241,Cuba,http://www.wikidata.org/entity/Q1006,Guinea,http://www.wikidata.org/entity/Q109044655,Aboubacar Sidiki Camara
http://www.wikidata.org/entity/Q31887327,"Embassy of Germany, Nicosia",http://www.wikidata.org/entity/Q229,Cyprus,http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q109653058,Anke Schlimm
http://www.wikidata.org/entity/Q5369965,"Embassy of the United States, Prague",http://www.wikidata.org/entity/Q213,Czech Republic,http://www.wikidata.org/entity/Q30,United States,http://www.wikidata.org/entity/Q37084447,Stephen B. King
http://www.wikidata.org/entity/Q834465,"Embassy of Germany, Prague",http://www.wikidata.org/entity/Q213,Czech Republic,http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q117824732,Andreas Künne
http://www.wikidata.org/entity/Q31194240,"Armenian Embassy, Prague",http://www.wikidata.org/entity/Q213,Czech Republic,http://www.wikidata.org/entity/Q399,Armenia,http://www.wikidata.org/entity/Q20511214,Q20511214
http://www.wikidata.org/entity/Q63639169,"Embassy of Hungary, Prague",http://www.wikidata.org/entity/Q213,Czech Republic,http://www.wikidata.org/entity/Q28,Hungary,http://www.wikidata.org/entity/Q63859977,Miklós Boros
http://www.wikidata.org/entity/Q58873669,"Embassy of Germany, Kinshasa",http://www.wikidata.org/entity/Q974,Democratic Republic of the Congo,http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q58856157,Ingo Herbert
http://www.wikidata.org/entity/Q58577956,"Embassy of Germany, Djibouti",http://www.wikidata.org/entity/Q977,Djibouti,http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q113863815,Heike Fuller
http://www.wikidata.org/entity/Q58563562,"Embassy of Germany, Santo Domingo",http://www.wikidata.org/entity/Q786,Dominican Republic,http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q113951109,Maike Friedrichsen
http://www.wikidata.org/entity/Q58581912,"Embassy of Germany, Quito",http://www.wikidata.org/entity/Q736,Ecuador,http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q79100737,Jens Lütkenherm
http://www.wikidata.org/entity/Q58207668,"Embassy of Germany, Cairo",http://www.wikidata.org/entity/Q79,Egypt,http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q104037494,Jürgen Schulz
http://www.wikidata.org/entity/Q5369548,"Embassy of Armenia, Cairo",http://www.wikidata.org/entity/Q79,Egypt,http://www.wikidata.org/entity/Q399,Armenia,http://www.wikidata.org/entity/Q20511214,Q20511214
http://www.wikidata.org/entity/Q58588651,"Embassy of Germany, San Salvador",http://www.wikidata.org/entity/Q792,El Salvador,http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q1436126,Peter Woeste
http://www.wikidata.org/entity/Q42313748,Embassy of Germany in Tallinn,http://www.wikidata.org/entity/Q191,Estonia,http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q566617,Annette Klein
http://www.wikidata.org/entity/Q67005648,"Hungarian embassy, Tallinn",http://www.wikidata.org/entity/Q191,Estonia,http://www.wikidata.org/entity/Q28,Hungary,http://www.wikidata.org/entity/Q65569373,Kristóf Forrai
http://www.wikidata.org/entity/Q58278700,"Embassy of Germany, Addis Ababa",http://www.wikidata.org/entity/Q115,Ethiopia,http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q130613882,Jens Hanefeld
http://www.wikidata.org/entity/Q23892184,"Embassy of Australia, Addis Ababa",http://www.wikidata.org/entity/Q115,Ethiopia,http://www.wikidata.org/entity/Q408,Australia,http://www.wikidata.org/entity/Q23762721,Mark Sawers
http://www.wikidata.org/entity/Q109352283,"Embassy of the People's Republic of China, Suva",http://www.wikidata.org/entity/Q712,Fiji,http://www.wikidata.org/entity/Q1155502,Ministry of Foreign Affairs of the People's Republic of China,http://www.wikidata.org/entity/Q67935026,Q67935026
http://www.wikidata.org/entity/Q121437207,"Embassy of Germany, Suva",http://www.wikidata.org/entity/Q712,Fiji,http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q88565003,Andreas Prothmann
http://www.wikidata.org/entity/Q25451942,"Embassy of Germany, Helsinki",http://www.wikidata.org/entity/Q33,Finland,http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q76733926,Stephan Auer
http://www.wikidata.org/entity/Q63618088,"Hungarian embassy, Helsinki",http://www.wikidata.org/entity/Q33,Finland,http://www.wikidata.org/entity/Q28,Hungary,http://www.wikidata.org/entity/Q106731182,Klára Breuer
http://www.wikidata.org/entity/Q15953187,"Embassy of Germany, Paris",http://www.wikidata.org/entity/Q142,France,http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q23900240,Stephan Steinlein
http://www.wikidata.org/entity/Q16010348,"Embassy of Hungary, Paris",http://www.wikidata.org/entity/Q142,France,http://www.wikidata.org/entity/Q28,Hungary,http://www.wikidata.org/entity/Q112096,Georg of Austria
http://www.wikidata.org/entity/Q16303658,Embassy of Guinea in Paris,http://www.wikidata.org/entity/Q142,France,http://www.wikidata.org/entity/Q1006,Guinea,http://www.wikidata.org/entity/Q107049865,Amara Camara
http://www.wikidata.org/entity/Q16303668,Embassy of Central African Republic in Paris,http://www.wikidata.org/entity/Q142,France,http://www.wikidata.org/entity/Q929,Central African Republic,http://www.wikidata.org/entity/Q1930736,Michel Gbezera-Bria
http://www.wikidata.org/entity/Q137798,"Embassy of Canada, Paris",http://www.wikidata.org/entity/Q142,France,http://www.wikidata.org/entity/Q16,Canada,http://www.wikidata.org/entity/Q366456,Stéphane Dion
http://www.wikidata.org/entity/Q18164757,"Embassy of Ireland, Paris",http://www.wikidata.org/entity/Q142,France,http://www.wikidata.org/entity/Q27,Ireland,http://www.wikidata.org/entity/Q7145775,Patricia O'Brien
http://www.wikidata.org/entity/Q18794353,"Embassy of the United Kingdom, Paris",http://www.wikidata.org/entity/Q142,France,http://www.wikidata.org/entity/Q145,United Kingdom,http://www.wikidata.org/entity/Q5344177,Edward Llewellyn
http://www.wikidata.org/entity/Q58608207,"Embassy of Germany, Libreville",http://www.wikidata.org/entity/Q1000,Gabon,http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q18786421,Horst Gruner
http://www.wikidata.org/entity/Q58612807,"Embassy of Germany, Tbilisi",http://www.wikidata.org/entity/Q230,Georgia,http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q84359411,Ernst Peter Fischer
http://www.wikidata.org/entity/Q12805354,"Embassy of Slovenia, Berlin",http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q215,Slovenia,http://www.wikidata.org/entity/Q12789047,Franc But
http://www.wikidata.org/entity/Q1723504,Canada House,http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q16,Canada,http://www.wikidata.org/entity/Q366456,Stéphane Dion
http://www.wikidata.org/entity/Q1989648,"Embassy of Nigeria, Berlin",http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q1033,Nigeria,http://www.wikidata.org/entity/Q308481,Abdu Usman Abubakar
http://www.wikidata.org/entity/Q2493389,"Embassy of Hungary, Berlin",http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q28,Hungary,http://www.wikidata.org/entity/Q23561769,Péter Györkös
http://www.wikidata.org/entity/Q475584,"Embassy of the United Kingdom, Berlin",http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q145,United Kingdom,http://www.wikidata.org/entity/Q4128233,Sebastian Wood
http://www.wikidata.org/entity/Q554046,Embassy of France in Berlin,http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q142,France,http://www.wikidata.org/entity/Q28819229,Anne-Marie Descôtes
http://www.wikidata.org/entity/Q826763,"Embassy of Turkey, Berlin",http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q43,Turkey,http://www.wikidata.org/entity/Q131356652,Ahmet Başar Şen
http://www.wikidata.org/entity/Q875787,"Embassy of the United States, Berlin",http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q30,United States,http://www.wikidata.org/entity/Q7326068,Richard Grenell
http://www.wikidata.org/entity/Q1073835,"Embassy of the People's Republic of China, Berlin",http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q1155502,Ministry of Foreign Affairs of the People's Republic of China,http://www.wikidata.org/entity/Q2278558,Shi Mingde
http://www.wikidata.org/entity/Q1428725,"Embassy of Sweden, Berlin",http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q34,Sweden,http://www.wikidata.org/entity/Q16616072,Veronika Wand-Danielsson
http://www.wikidata.org/entity/Q20184415,"Embassy of Croatia, Berlin",http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q224,Croatia,http://www.wikidata.org/entity/Q46511044,Gordan Grlić-Radman
http://www.wikidata.org/entity/Q21041983,"Embassy of Ireland, Berlin",http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q27,Ireland,http://www.wikidata.org/entity/Q1927172,Michael Collins
http://www.wikidata.org/entity/Q23786623,"Embassy of Thailand, Berlin",http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q869,Thailand,http://www.wikidata.org/entity/Q43259312,Dhiravat Bhumichitr
http://www.wikidata.org/entity/Q23786646,"Embassy of Kazakhstan, Berlin",http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q232,Kazakhstan,http://www.wikidata.org/entity/Q19835594,Bolat Nussupow
http://www.wikidata.org/entity/Q73161744,embassy of Iraq in Germany,http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q796,Iraq,http://www.wikidata.org/entity/Q101244418,Dhia Hadi Mahmoud Al-Dabbas
http://www.wikidata.org/entity/Q58613729,"Embassy of Germany, Accra",http://www.wikidata.org/entity/Q117,Ghana,http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q109626628,Daniel Krull
http://www.wikidata.org/entity/Q5369738,"Embassy of Israel, Athens",http://www.wikidata.org/entity/Q41,Greece,http://www.wikidata.org/entity/Q801,Israel,http://www.wikidata.org/entity/Q4802685,Aryeh Mekel
http://www.wikidata.org/entity/Q6895817,"Embassy of Moldova, Athens",http://www.wikidata.org/entity/Q41,Greece,http://www.wikidata.org/entity/Q217,Moldova,http://www.wikidata.org/entity/Q6845043,Mihai Balan
http://www.wikidata.org/entity/Q14906554,"Embassy of Germany, Athens",http://www.wikidata.org/entity/Q41,Greece,http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q23061642,Andreas Kindl
http://www.wikidata.org/entity/Q60315412,"Embassy of Germany, Guatemala",http://www.wikidata.org/entity/Q774,Guatemala,http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q127726474,Hardy Boeckle
http://www.wikidata.org/entity/Q58634729,"Embassy of Germany, Conakry",http://www.wikidata.org/entity/Q1006,Guinea,http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q130619476,Irene Biontino
http://www.wikidata.org/entity/Q110694865,embassy of Morocco in Guinea,http://www.wikidata.org/entity/Q1006,Guinea,http://www.wikidata.org/entity/Q1028,Morocco,http://www.wikidata.org/entity/Q110694955,Issam Taib
http://www.wikidata.org/entity/Q58643251,"Embassy of Germany, Tegucigalpa",http://www.wikidata.org/entity/Q783,Honduras,http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q123177151,Daniela Vogl
http://www.wikidata.org/entity/Q5369694,"Embassy of Germany, Budapest",http://www.wikidata.org/entity/Q28,Hungary,http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q116047605,Julia Gross
http://www.wikidata.org/entity/Q5369855,"Embassy of Serbia, Budapest",http://www.wikidata.org/entity/Q28,Hungary,http://www.wikidata.org/entity/Q403,Serbia,http://www.wikidata.org/entity/Q54232947,Ivan Todorov
http://www.wikidata.org/entity/Q10686001,"Embassy of Sweden, Budapest",http://www.wikidata.org/entity/Q28,Hungary,http://www.wikidata.org/entity/Q34,Sweden,http://www.wikidata.org/entity/Q969611,Dag Hartelius
http://www.wikidata.org/entity/Q15629239,"Embassy of Slovenia, Budapest",http://www.wikidata.org/entity/Q28,Hungary,http://www.wikidata.org/entity/Q215,Slovenia,http://www.wikidata.org/entity/Q12795833,Marjan Cencen
http://www.wikidata.org/entity/Q2464733,"Embassy of Turkey, Budapest",http://www.wikidata.org/entity/Q28,Hungary,http://www.wikidata.org/entity/Q43,Turkey,http://www.wikidata.org/entity/Q113582517,Gülşen Karanis Ekşioğlu
http://www.wikidata.org/entity/Q2841748,"Embassy of France, Budapest",http://www.wikidata.org/entity/Q28,Hungary,http://www.wikidata.org/entity/Q142,France,http://www.wikidata.org/entity/Q33168069,Pascale Andréani
http://www.wikidata.org/entity/Q851139,"Embassy of the United Kingdom, Budapest",http://www.wikidata.org/entity/Q28,Hungary,http://www.wikidata.org/entity/Q145,United Kingdom,http://www.wikidata.org/entity/Q100651699,Paul Leonard Fox
http://www.wikidata.org/entity/Q19383561,"Embassy of Norway, Budapest",http://www.wikidata.org/entity/Q28,Hungary,http://www.wikidata.org/entity/Q20,Norway,http://www.wikidata.org/entity/Q17107462,Trine Skymoen
http://www.wikidata.org/entity/Q20580549,"Embassy of Azerbaijan, Budapest",http://www.wikidata.org/entity/Q28,Hungary,http://www.wikidata.org/entity/Q227,Azerbaijan,http://www.wikidata.org/entity/Q20584735,Tahir Taghizadeh
http://www.wikidata.org/entity/Q29448245,Embassy of the State of Palestine in Hungary,http://www.wikidata.org/entity/Q28,Hungary,http://www.wikidata.org/entity/Q219060,Palestine,http://www.wikidata.org/entity/Q6752623,Manuel Hassassian
http://www.wikidata.org/entity/Q38085942,"Embassy of the Netherlands, Budapest",http://www.wikidata.org/entity/Q28,Hungary,http://www.wikidata.org/entity/Q29999,Kingdom of the Netherlands,http://www.wikidata.org/entity/Q429445,Désirée Bonis
http://www.wikidata.org/entity/Q42313823,"Embassy of Estonia, Budapest",http://www.wikidata.org/entity/Q28,Hungary,http://www.wikidata.org/entity/Q191,Estonia,http://www.wikidata.org/entity/Q61111275,Kristi Karelsohn
http://www.wikidata.org/entity/Q63869482,"Embassy of Spain, Budapest",http://www.wikidata.org/entity/Q28,Hungary,http://www.wikidata.org/entity/Q29,Spain,http://www.wikidata.org/entity/Q5700629,Anunciada Fernández de Córdova
http://www.wikidata.org/entity/Q65502845,"Embassy of Croatia, Budapest",http://www.wikidata.org/entity/Q28,Hungary,http://www.wikidata.org/entity/Q224,Croatia,http://www.wikidata.org/entity/Q66773760,Mladen Andrlic
http://www.wikidata.org/entity/Q66294915,"Embassy of Austria, Budapest",http://www.wikidata.org/entity/Q28,Hungary,http://www.wikidata.org/entity/Q40,Austria,http://www.wikidata.org/entity/Q124285795,Alexander Grubmayr
http://www.wikidata.org/entity/Q66341093,"Embassy of the Czech Republic, Budapest",http://www.wikidata.org/entity/Q28,Hungary,http://www.wikidata.org/entity/Q213,Czech Republic,http://www.wikidata.org/entity/Q69378079,Tibor Bial
